player_id,match_id,minutes_played,goals,assists,shots,shots_on_target,shots_off_target,shots_blocked,passes_completed,passes_attempted,pass_accuracy,crosses_completed,crosses_attempted,dribbles,offsides,tackles,tackles_won,tackles_lost,interceptions,clearances,fouls_committed,fouls_suffered,yellow_cards,red_cards,distance_covered,top_speed,team_id,touches,expected_threat_total,vaep_rating,expected_assists,progressive_pass_dist,defensive_action_height,pressing_intensity,acwr_index,metabolic_power,foul_severity_index,possession_involvement
player_4f3e8c887b3e,match_a499908675a8,90.0,0.0,0.0,1.0,0.1682,0.8318,NULL,34.0,40.8018,0.8333,NULL,NULL,NULL,NULL,1.0,NULL,NULL,3.5463,NULL,1.0112,NULL,0.0,0.0,NULL,NULL,team_e45c3160715a,46.3481,NULL,NULL,3.400014,NULL,NULL,0.062978,NULL,NULL,1.0112,NULL
player_20cd26cedc97,match_a499908675a8,90.0,0.0,0.0,1.0,0.1682,0.8318,NULL,34.0,40.8018,0.8333,NULL,NULL,NULL,NULL,1.0,NULL,NULL,3.5463,NULL,1.0112,NULL,0.0,0.0,NULL,NULL,team_e45c3160715a,46.3481,NULL,NULL,3.400014,NULL,NULL,0.062978,NULL,NULL,1.0112,NULL
player_4a54c68f1b9d,match_a499908675a8,90.0,0.0,0.0,1.0,0.1682,0.8318,NULL,34.0,40.8018,0.8333,NULL,NULL,NULL,NULL,1.0,NULL,NULL,3.5463,NULL,1.0112,NULL,0.0,0.0,NULL,NULL,team_e45c3160715a,46.3481,NULL,NULL,3.400014,NULL,NULL,0.062978,NULL,NULL,1.0112,NULL
player_cc479ee70694,match_a499908675a8,90.0,0.0,0.0,1.0,0.1682,0.8318,NULL,34.0,40.8018,0.8333,NULL,NULL,NULL,NULL,1.0,NULL,NULL,3.5463,NULL,1.0112,NULL,0.0,0.0,NULL,NULL,team_e45c3160715a,46.3481,NULL,NULL,3.400014,NULL,NULL,0.062978,NULL,NULL,1.0112,NULL
player_9eb0c9605dc8,match_a499908675a8,90.0,0.0,0.0,1.0,0.1682,0.8318,NULL,34.0,40.8018,0.8333,NULL,NULL,NULL,NULL,1.0,NULL,NULL,3.5463,NULL,1.0112,NULL,0.0,0.0,NULL,NULL,team_e45c3160715a,46.3481,NULL,NULL,3.400014,NULL,NULL,0.062978,NULL,NULL,1.0112,NULL
player_c8975f3c39af,match_a499908675a8,90.0,0.0,0.0,1.0,0.1682,0.8318,NULL,34.0,40.8018,0.8333,NULL,NULL,NULL,NULL,1.0,NULL,NULL,3.5463,NULL,1.0112,NULL,0.0,0.0,NULL,NULL,team_e45c3160715a,46.3481,NULL,NULL,3.400014,NULL,NULL,0.062978,NULL,NULL,1.0112,NULL
player_c7328e5841cf,match_a499908675a8,90.0,0.0,0.0,1.0,0.1682,0.8318,NULL,34.0,40.8018,0.8333,NULL,NULL,NULL,NULL,1.0,NULL,NULL,3.5463,NULL,1.0112,NULL,0.0,0.0,NULL,NULL,team_e45c3160715a,46.3481,NULL,NULL,3.400014,NULL,NULL,0.062978,NULL,NULL,1.0112,NULL
player_b126af23f954,match_a499908675a8,90.0,0.0,0.0,1.0,0.1682,0.8318,NULL,34.0,40.8018,0.8333,NULL,NULL,NULL,NULL,1.0,NULL,NULL,3.5463,NULL,1.0112,NULL,0.0,0.0,NULL,NULL,team_e45c3160715a,46.3481,NULL,NULL,3.400014,NULL,NULL,0.062978,NULL,NULL,1.0112,NULL
player_16001f0ec5ce,match_a499908675a8,90.0,0.0,0.0,1.0,0.1682,0.8318,NULL,34.0,40.8018,0.8333,NULL,NULL,NULL,NULL,1.0,NULL,NULL,3.5463,NULL,1.0112,NULL,0.0,0.0,NULL,NULL,team_e45c3160715a,46.3481,NULL,NULL,3.400014,NULL,NULL,0.062978,NULL,NULL,1.0112,NULL
player_0cda03eeec83,match_a499908675a8,90.0,0.0,0.0,1.0,0.1682,0.8318,NULL,34.0,40.8018,0.8333,NULL,NULL,NULL,NULL,1.0,NULL,NULL,3.5463,NULL,1.0112,NULL,0.0,0.0,NULL,NULL,team_e45c3160715a,46.3481,NULL,NULL,3.400014,NULL,NULL,0.062978,NULL,NULL,1.0112,NULL
player_2fe44044f402,match_a499908675a8,90.0,0.0,0.0,1.0,0.1682,0.8318,NULL,34.0,40.8018,0.8333,NULL,NULL,NULL,NULL,1.0,NULL,NULL,3.5463,NULL,1.0112,NULL,0.0,0.0,NULL,NULL,team_e45c3160715a,46.3481,NULL,NULL,3.400014,NULL,NULL,0.062978,NULL,NULL,1.0112,NULL
